dateIDd,Weekday,Holiday,Duration,Volume
20170723,0,0,958.6283594394064,24260
20170724,1,0,631.163218641115,9184
20170725,1,0,814.2981599088097,24564
20170726,1,0,828.7380978968919,26865
20170727,1,0,798.7709641959799,25472
20170728,1,0,876.1364965536447,28726
20170729,0,0,1022.2277396738302,32805
20170730,0,0,1034.1239010140164,35601
20170731,1,0,810.9522873481058,22384
20170801,1,0,849.3113735465116,27520
20170802,1,0,830.2581550851528,27069
20170803,1,0,826.1451531712929,27812
20170804,1,0,767.7226292330549,19519
20170805,0,0,928.3734281932495,18132
20170806,0,0,951.1044293258481,21019
20170807,1,0,823.1820070377751,23587
20170808,1,0,839.8861106041248,27395
20170809,1,0,826.2231708203153,27526
20170810,1,0,821.6375239076064,27188
20170811,1,0,833.5915675116399,27062
20170812,0,0,887.5828582959189,19823
20170813,0,0,936.2679003804911,23128
20170814,1,0,840.556419326,25727
20170815,1,0,779.5248365701198,20957
20170816,1,0,824.4414453793756,27453
20170817,1,0,822.8229987899234,27271
20170818,1,0,757.3795086251961,17217
20170819,0,0,903.4940105820106,23625
20170820,0,0,920.4445581560915,22474
20170821,1,0,833.100521612551,24731
20170822,1,0,744.7347816374399,17906
20170823,1,0,779.4318144833197,24580
20170824,1,0,789.2844185037662,25357
20170825,1,0,809.876988625259,25583
20170826,0,0,883.4173410404625,20760
20170827,0,0,967.2754397344423,26209
20170828,1,0,823.52728,25000
20170829,1,0,804.0364403528961,26070
20170830,1,0,811.7840161483253,26752
20170831,1,0,740.1585869004641,23268
20170901,1,0,759.7207648254202,21652
20170902,0,0,953.3659965321712,21339
20170903,0,0,665.3821608040201,3980
20170904,1,1,873.4910336334949,12993
20170905,1,0,736.8397542498152,21648
20170906,1,0,721.9462018009698,21655
20170907,1,0,709.0137694666587,16631
20170908,1,0,740.8294293207923,22114
20170909,0,0,828.2518124697922,18621
20170910,0,0,865.2473958333334,18432
20170911,1,0,772.6460807600951,23155
20170912,1,0,769.6272028000488,24571
20170913,1,0,760.9217391304347,25300
20170914,1,0,779.1381247578458,25810
20170915,1,0,785.440952708644,26157
20170916,0,0,874.9271065634701,22869
20170917,0,0,878.056620379425,20452
20170918,1,0,768.1898523512845,23434
20170919,1,0,758.9156558533145,24815
20170920,1,0,745.238340302348,24872
20170921,1,0,769.3205614419205,25577
20170922,1,0,790.5720892588738,25947
20170923,0,0,891.4438058183747,22618
20170924,0,0,887.037987768111,23218
20170925,1,0,755.0951156812339,22562
20170926,1,0,753.6476285905144,23952
20170927,1,0,718.0617931565523,20779
20170928,1,0,714.8045129189944,22912
20170929,1,0,704.7306242530109,21754
20170930,0,0,794.6137229231135,16804
20171001,0,0,801.0981277386801,15062
20171002,1,0,747.3144939044328,21409
20171003,1,0,745.0106954264745,22346
20171004,1,0,696.6643457117596,18096
20171005,1,0,716.0953441953303,21543
20171006,1,0,750.6818517492846,21666
20171007,0,0,773.0101724137932,11600
20171008,0,0,825.5504910988336,13032
20171009,1,1,641.4817850637522,4392
20171010,1,0,730.2916001740897,20679
20171011,1,0,680.3341545712602,18671
20171012,1,0,713.4664484451719,19552
20171013,1,0,725.3960924517851,19859
20171014,0,0,749.0325181035661,14638
20171015,0,0,693.3981623277182,9142
