,dateIDd,avgTemp,maxTemp,minTemp,avgDewPoint,avgHumRel,maxHumRel,minHumRel,sumPrecipitationHgt,timePrecipitation,precipitationToday,avgWindDir,avgWindSpd,maxWindSpd,avgVis,avgPkpa,avgHmdx,avgWindChill,maxWindChill,minWindChill,Rain,Snow,Thunderstorm,Drizzle,Fog,percentCloudy,percentSunny,dateIDm,dateIDd,Weekday,Holiday,Duration,Volume
0,20140314,-7.399305555555554,1.0666666666666669,-15.3,-13.672916666666666,61.381944444444436,71.0,52.66666666666666,0.0,0.0,0.0,17.659722222222218,17.82638888888889,26.0,20.437500000000007,100.47277777777776,,-14.136363636363635,-5.5,-21.5,0,3,0,0.0,0.0,0.375,0.08333333333333333,201403,20170415,0,0,1038.814789687924,10318
1,20140315,1.3145833333333334,4.333333333333333,-5.85,-4.195138888888889,67.09722222222221,85.0,54.5,1.0,0.05,1.0,23.54861111111111,20.993055555555557,30.5,18.995833333333334,99.86569444444444,,-8.694444444444445,-3.0,-14.0,1,3,0,0.0,0.0,0.3333333333333333,0.08333333333333333,201403,20170416,0,0,766.5969144460028,3565
2,20140316,-10.938194444444445,-6.0,-12.8,-19.320833333333333,50.72916666666666,62.33333333333334,41.66666666666666,0.0,0.0,0.0,27.180555555555557,20.444444444444443,27.66666666666667,25.141666666666666,101.58798611111106,,-18.51388888888889,-12.666666666666664,-21.66666666666667,0,0,0,0.0,0.0,0.0,0.375,201403,20170417,1,1,748.0117679255611,7308
3,20140317,-10.988888888888885,-7.833333333333332,-15.7,-19.156944444444445,52.319444444444436,66.33333333333333,40.0,0.0,0.0,0.0,24.743055555555557,11.159722222222225,23.0,25.64583333333333,101.72125,,-16.22916666666666,-12.333333333333336,-21.0,0,0,0,0.0,0.0,0.125,0.2916666666666667,201403,20170418,1,0,765.009148132606,11915
4,20140318,-7.965277777777778,-3.1333333333333333,-13.233333333333334,-16.476388888888884,52.402777777777786,71.0,36.333333333333336,0.0,0.0,0.0,12.6875,9.041666666666666,15.666666666666664,26.15,102.10902777777778,,-11.951388888888893,-7.0,-17.666666666666668,0,0,0,0.0,0.0,0.08333333333333333,0.2916666666666667,201403,20170419,1,0,671.6441245396719,5974
5,20140319,-2.895833333333333,2.9666666666666663,-8.9,-10.725,56.11111111111111,83.66666666666667,39.66666666666666,0.0,0.0,0.0,13.722222222222221,16.48611111111111,25.0,19.504166666666674,101.37,,-11.833333333333336,-4.333333333333333,-15.333333333333336,0,1,0,0.0,0.0,0.375,0.04166666666666666,201403,20170420,1,0,721.2450779510021,11225
6,20140320,1.4652777777777777,2.766666666666667,0.16666666666666666,-0.7374999999999999,85.625,93.33333333333331,70.0,7.0,0.20833333333333331,1.0,19.20833333333333,22.63888888888889,28.33333333333333,15.675,99.68,,-3.0,-3.0,-3.0,1,1,0,0.0,0.0,0.16666666666666666,0.0,201403,20170421,1,0,660.8386607880958,7258
7,20140321,-0.32083333333333336,2.466666666666667,-2.466666666666667,-6.519444444444442,64.51388888888887,83.33333333333333,44.33333333333334,1.2,0.04166666666666666,1.0,25.23611111111111,20.125000000000004,27.0,20.485416666666673,100.49069444444444,,-6.041666666666668,-3.333333333333333,-7.333333333333332,0,1,0,0.0,0.0,0.04166666666666666,0.125,201403,20170422,0,0,738.5495505745819,8789
8,20140322,-2.0444444444444447,0.3,-3.5666666666666664,-4.811111111111111,81.75000000000001,92.33333333333331,70.33333333333333,11.4,0.20833333333333331,1.0,19.67361111111111,15.041666666666664,24.0,15.708333333333336,100.39722222222224,,-6.659420289855072,-4.5,-10.0,0,3,0,0.0,0.0,0.3333333333333333,0.04166666666666666,201403,20170423,0,0,973.2419979905268,13934
9,20140323,-8.558333333333332,0.10000000000000002,-12.533333333333333,-16.42222222222222,54.16666666666666,85.0,41.333333333333336,0.0,0.0,0.0,27.73611111111111,17.180555555555557,28.0,23.93333333333333,101.34972222222223,,-14.916666666666664,-3.0,-20.666666666666668,0,3,0,0.0,0.0,0.0,0.2916666666666667,201403,20170424,1,0,724.3338936045047,11899
10,20140324,-9.662500000000003,-5.133333333333333,-16.166666666666668,-18.961111111111116,48.388888888888886,63.66666666666666,34.666666666666664,0.0,0.0,0.0,24.61111111111111,12.722222222222221,20.33333333333333,26.15,101.5209722222222,,-15.159722222222221,-11.0,-21.66666666666667,0,0,0,0.0,0.0,0.0,0.3333333333333333,201403,20170425,1,0,677.1450154271731,9399
11,20140325,-5.531944444444445,-1.9333333333333336,-10.866666666666667,-12.78055555555556,57.58333333333332,70.0,43.0,0.0,0.0,0.0,17.180555555555557,12.29166666666667,16.666666666666668,22.62083333333334,100.99541666666666,,-10.263888888888891,-5.333333333333333,-16.333333333333332,0,0,0,0.0,0.0,0.125,0.4166666666666667,201403,20170426,1,0,722.9855435781732,11967
12,20140326,-5.0138888888888875,-2.1,-8.233333333333333,-13.59861111111111,53.27777777777778,80.66666666666667,34.0,0.0,0.0,0.0,27.5,16.930555555555557,27.66666666666667,22.62083333333333,100.95402777777777,,-10.333333333333334,-7.0,-13.666666666666664,0,0,0,0.0,0.0,0.20833333333333331,0.16666666666666666,201403,20170427,1,0,832.7116551469425,18953
13,20140327,-6.768055555555552,-3.6666666666666665,-12.066666666666668,-13.611111111111107,60.13888888888889,83.0,41.0,0.0,0.0,0.0,20.06944444444445,11.652777777777775,19.33333333333333,22.41458333333334,101.73986111111108,,-11.430555555555555,-6.0,-19.0,0,1,0,0.0,0.0,0.2916666666666667,0.125,201403,20170428,1,0,821.5650393533292,18804
14,20140328,1.4583333333333333,4.199999999999998,-3.033333333333333,-0.3805555555555553,87.90277777777777,94.66666666666669,70.66666666666667,15.2,0.3333333333333333,1.0,16.958333333333336,16.458333333333336,26.0,12.570833333333335,100.5525,,-4.916666666666667,-2.0,-6.0,4,1,0,0.125,0.3333333333333333,0.04166666666666666,0.0,201403,20170429,0,0,893.0407529025449,17054
15,20140329,1.7638888888888886,3.6666666666666665,1.0666666666666669,-2.9777777777777783,71.1111111111111,82.66666666666667,61.33333333333334,0.0,0.0,0.0,14.708333333333336,16.11111111111111,30.0,19.700000000000006,101.84319444444445,,,,,0,0,0,0.0,0.0,0.5833333333333334,0.0,201403,20170430,0,0,651.1269115335142,6997
16,20140330,-0.5680555555555555,0.6666666666666666,-1.4333333333333331,-2.948611111111111,84.45833333333333,94.33333333333331,66.0,10.3,0.20833333333333331,1.0,9.68055555555556,34.083333333333336,39.0,10.6375,101.05,,-7.462121212121213,-6.0,-8.666666666666666,0,3,0,0.0,0.0,0.16666666666666666,0.08333333333333333,201403,20170501,1,0,585.2321954090643,3398
17,20140331,1.4430555555555555,5.4,-1.5333333333333332,-4.263888888888889,66.31944444444444,74.66666666666667,53.66666666666666,1.1,0.04166666666666666,1.0,15.666666666666664,14.624999999999998,26.33333333333333,21.612500000000008,101.54013888888888,,-5.375,-2.0,-6.333333333333332,0,0,0,0.0,0.0,0.16666666666666666,0.3333333333333333,201403,20170502,1,0,744.2365470852018,15164
18,20140401,0.9958333333333332,4.133333333333333,-3.266666666666667,-6.695833333333334,58.91666666666668,86.66666666666669,40.66666666666666,0.0,0.0,0.0,9.375,12.5,17.333333333333332,24.637500000000006,101.51444444444445,,-5.499999999999999,-3.0,-7.666666666666668,0,0,0,0.0,0.0,0.25,0.20833333333333331,201404,20170503,1,0,719.3328962894979,15254
19,20140402,3.5277777777777786,4.6,1.0,-2.5444444444444443,64.70833333333334,72.0,59.33333333333334,0.0,0.0,0.0,20.222222222222225,19.527777777777775,29.66666666666667,20.100000000000012,101.00513888888884,,-4.0,-4.0,-4.0,0,0,0,0.0,0.0,0.375,0.125,201404,20170504,1,0,787.5621301775147,18421
20,20140403,0.7763888888888889,2.9,-1.6,-6.588888888888887,58.819444444444436,76.0,45.66666666666666,0.0,0.0,0.0,25.79166666666667,10.194444444444443,21.33333333333333,24.13333333333333,101.59375,,-3.712121212121212,-1.5,-6.333333333333332,0,0,0,0.0,0.0,0.125,0.375,201404,20170505,1,0,601.6425679583574,5187
21,20140404,1.5513888888888885,6.633333333333333,-3.466666666666667,-4.1194444444444445,67.47222222222221,91.0,47.0,15.5,0.20833333333333331,1.0,7.694444444444443,16.305555555555557,26.66666666666667,22.29791666666667,100.9225,,-6.683333333333335,-4.5,-8.333333333333334,1,0,0,0.0,0.16666666666666666,0.16666666666666666,0.125,201404,20170506,0,0,840.9761070404587,12556
