dateIDm,avgTemp,avgHigh,avgLow,avgHumRel,sumPrecipitationHgt,avgDailyPrecipitation,daysRain,avgWindSpd,avgWindChill,avgHighWindchill,avgLowWindchill,percentCloudy,percentSunny,Year,Month
201403,-3.956134259259259,-0.10370370370370363,-7.91388888888889,64.18209876543209,47.199999999999996,0.06064814814814815,7.0,16.98958333333333,-10.406919256503656,-5.764705882352941,-14.34313725490196,0.18981481481481477,0.1712962962962963,2014,3
201404,5.8876388888888895,10.223888888888888,1.381111111111111,62.151157407407396,139.89999999999998,0.08888888888888888,16.0,15.059953703703703,-4.6492229992229985,-3.1923076923076925,-6.153846153846154,0.2486111111111111,0.14027777777777778,2014,4
201405,14.26776433691756,18.93387096774193,9.785483870967742,64.72267025089607,112.00000000000001,0.06638616175783076,14.0,14.135304659498209,,,,0.23521505376344085,0.19354838709677416,2014,5
201406,19.90840277777778,24.34055555555556,15.213333333333331,64.24328703703705,165.1,0.0975877192982456,11.0,12.5625,,,,0.22916666666666666,0.18611111111111114,2014,6
201407,21.267988351254488,24.99569892473118,17.45483870967742,66.19287634408603,79.74999999999999,0.08198924731182795,15.0,13.216621863799283,,,,0.2459677419354839,0.19892473118279574,2014,7
201408,20.463239247311826,24.575268817204297,16.15806451612903,68.40479390681003,79.15,0.0900537634408602,11.0,10.0828853046595,,,,0.23924731182795697,0.20161290322580644,2014,8
201409,16.076435185185186,20.63888888888889,11.555555555555559,71.80254629629628,39.85000000000001,0.06666666666666667,11.0,12.487731481481482,,,,0.22361111111111104,0.225,2014,9
201410,10.970071684587811,14.164516129032261,7.918279569892473,72.5497311827957,90.64999999999999,0.14381720430107528,17.0,13.608422939068097,,,,0.2688172043010753,0.14516129032258068,2014,10
201411,3.9985690235690234,6.6866666666666665,1.5288888888888892,63.794865319865295,15.000000000000002,0.07095959595959596,6.0,14.531986531986535,-4.994848231690336,-4.119047619047619,-5.857142857142857,0.2916666666666667,0.15,2014,11
201503,-3.229861111111111,0.19444444444444464,-7.701851851851853,60.878858024691354,12.3,0.06018518518518518,6.0,14.43479938271605,-9.395364836368298,-5.490196078431373,-13.607843137254902,0.1643518518518518,0.18055555555555555,2015,3
201504,6.42724537037037,10.71111111111111,2.186111111111111,57.74375,67.09999999999998,0.1111111111111111,16.0,14.293287037037036,-5.258392895819797,-3.314814814814815,-7.148148148148149,0.2027777777777778,0.19722222222222222,2015,4
201505,16.952777777777783,22.39247311827957,11.464516129032257,56.28494623655913,91.24999999999999,0.09139784946236557,18.0,13.728942652329746,,,,0.24731182795698925,0.21370967741935487,2015,5
201506,17.764444444444443,22.02222222222222,13.335555555555556,69.33680555555557,130.15,0.1555555555555555,22.0,10.980092592592595,,,,0.2791666666666667,0.15694444444444444,2015,6
201507,21.564762544802864,25.85645161290322,17.22258064516129,70.50380824372759,107.24999999999997,0.14516129032258068,16.0,11.408602150537634,,,,0.20833333333333326,0.23790322580645162,2015,7
201508,21.19704301075269,25.23655913978495,17.30860215053763,73.8445340501792,93.99999999999999,0.06586021505376345,15.0,11.252016129032258,,,,0.20026881720430112,0.24865591397849465,2015,8
201509,18.916064814814817,23.64333333333333,14.387777777777776,72.30625,102.15,0.09722222222222224,9.0,10.823379629629631,,,,0.15555555555555556,0.24166666666666667,2015,9
201510,8.013552867383511,12.017204301075271,3.8559139784946237,69.71550179211468,94.14999999999999,0.09408602150537634,13.0,12.536514336917563,-3.666203703703704,-2.3333333333333335,-4.62962962962963,0.22983870967741934,0.18413978494623656,2015,10
201511,7.750277777777779,11.342222222222224,4.268888888888889,76.31435185185187,28.65,0.08888888888888889,8.0,13.462962962962962,-3.75,-2.6666666666666665,-4.666666666666667,0.21111111111111108,0.17777777777777776,2015,11
201603,1.5391203703703704,5.57962962962963,-1.9777777777777783,69.16280864197532,83.15,0.19444444444444445,12.0,14.213734567901234,-6.754036785654433,-3.6410256410256414,-9.230769230769232,0.18055555555555558,0.1388888888888889,2016,3
201604,4.242824074074075,8.72111111111111,-0.7211111111111116,53.5837962962963,93.35,0.13333333333333333,12.0,13.366666666666665,-5.9718002015621074,-3.96031746031746,-7.515873015873015,0.13333333333333333,0.27499999999999997,2016,4
201605,14.795138888888888,19.94462365591398,9.408602150537634,57.88844086021506,31.1,0.05779569892473118,11.0,12.608646953405017,,,,0.23521505376344085,0.23387096774193547,2016,5
201606,19.39141203703704,23.68,14.673333333333334,62.18749999999999,81.25,0.06666666666666668,10.0,12.45393518518518,,,,0.2305555555555556,0.22499999999999998,2016,6
201607,21.940860215053764,26.304301075268818,17.40967741935484,67.77464157706092,94.24999999999999,0.059139784946236555,12.0,12.53763440860215,,,,0.22580645161290328,0.2513440860215054,2016,7
201608,22.5084229390681,26.865591397849467,18.276344086021503,69.15053763440861,145.89999999999998,0.07661290322580644,10.0,13.502688172043008,,,,0.2110215053763441,0.22446236559139782,2016,8
201609,17.759259259259263,22.543333333333333,12.67888888888889,69.32893518518517,20.95,0.036111111111111115,7.0,10.957407407407402,,,,0.16250000000000003,0.27222222222222225,2016,9
201610,9.881653225806451,13.438172043010754,6.176344086021506,74.67226702508961,174.40000000000003,0.16666666666666669,14.0,11.934139784946234,-3.2619047619047614,-2.6666666666666665,-3.6666666666666665,0.2002688172043011,0.16801075268817203,2016,10
201611,6.478703703703704,10.815555555555557,2.2777777777777777,71.80462962962964,12.149999999999997,0.06388888888888888,7.0,12.89212962962963,-3.6539682539682543,-2.5714285714285716,-4.785714285714286,0.28611111111111115,0.16666666666666669,2016,11
