dateIDh,Weekday,Holiday,Duration,Volume
2017041500,0,0,752.4518518518519,135
2017041501,0,0,763.0289855072464,69
2017041502,0,0,648.8823529411765,34
2017041503,0,0,591.0833333333334,36
2017041504,0,0,702.5454545454545,11
2017041505,0,0,417.6111111111111,18
2017041506,0,0,938.5,32
2017041507,0,0,647.6282051282051,78
2017041508,0,0,847.4458598726114,157
2017041509,0,0,844.8472222222222,288
2017041510,0,0,1108.5309278350514,582
2017041511,0,0,1103.6389244558259,781
2017041512,0,0,1057.1671641791045,1005
2017041513,0,0,1131.324915824916,1188
2017041514,0,0,1174.5691573926867,1258
2017041515,0,0,1208.819365337673,1229
2017041516,0,0,1060.7019920318726,1255
2017041517,0,0,917.7079754601227,815
2017041518,0,0,777.0475161987041,463
2017041519,0,0,760.8211382113822,246
2017041520,0,0,789.1372549019608,153
2017041521,0,0,799.4065040650406,123
2017041522,0,0,974.6206896551724,174
2017041523,0,0,836.4095744680851,188
2017041600,0,0,622.9,110
2017041601,0,0,735.5277777777778,36
2017041602,0,0,652.195652173913,46
2017041603,0,0,692.6756756756756,37
2017041604,0,0,929.25,32
2017041605,0,0,612.6842105263158,19
2017041606,0,0,868.9629629629629,27
2017041607,0,0,627.688524590164,61
2017041608,0,0,806.2352941176471,102
2017041609,0,0,729.1036269430052,193
2017041610,0,0,935.2581699346405,306
2017041611,0,0,984.6749311294766,363
2017041612,0,0,848.0881057268723,454
2017041613,0,0,779.8995098039215,408
2017041614,0,0,700.8025751072961,233
2017041615,0,0,824.5333333333333,285
2017041616,0,0,621.8411214953271,107
2017041617,0,0,574.4230769230769,130
2017041618,0,0,396.90909090909093,55
2017041619,0,0,576.9626168224299,107
2017041620,0,0,598.6330275229358,109
2017041621,0,0,616.3245614035088,114
2017041622,0,0,609.572463768116,138
2017041623,0,0,716.8064516129032,93
2017041700,1,1,683.0151515151515,66
2017041701,1,1,579.1041666666666,48
2017041702,1,1,487.5882352941176,17
2017041703,1,1,596.625,8
2017041704,1,1,428.5,10
2017041705,1,1,557.8888888888889,18
2017041706,1,1,787.4035087719299,57
2017041707,1,1,765.5806451612904,186
2017041708,1,1,733.8341232227489,422
2017041709,1,1,739.8727272727273,330
2017041710,1,1,760.8601823708207,329
